,date,value
729,2021-10-18,4486.46
730,2021-10-19,4519.63
731,2021-10-20,4536.19
732,2021-10-21,4549.78
733,2021-10-22,4544.9
734,2021-10-25,4566.48
735,2021-10-26,4574.79
736,2021-10-27,4551.68
737,2021-10-28,4596.42
738,2021-10-29,4605.38
739,2021-11-01,4613.67
740,2021-11-02,4630.65
741,2021-11-03,4660.57
742,2021-11-04,4680.06
743,2021-11-05,4697.53
744,2021-11-08,4701.7
745,2021-11-09,4685.25
746,2021-11-10,4646.71
747,2021-11-11,4649.27
748,2021-11-12,4682.85
749,2021-11-15,4682.8
750,2021-11-16,4700.9
751,2021-11-17,4688.67
752,2021-11-18,4704.54
753,2021-11-19,4697.96
754,2021-11-22,4682.94
755,2021-11-23,4690.7
756,2021-11-24,4701.46
758,2021-11-26,4594.62
759,2021-11-29,4655.27
760,2021-11-30,4567.0
761,2021-12-01,4513.04
762,2021-12-02,4577.1
763,2021-12-03,4538.43
764,2021-12-06,4591.67
765,2021-12-07,4686.75
766,2021-12-08,4701.21
767,2021-12-09,4667.45
768,2021-12-10,4712.02
769,2021-12-13,4668.97
770,2021-12-14,4634.09
771,2021-12-15,4709.85
772,2021-12-16,4668.67
773,2021-12-17,4620.64
774,2021-12-20,4568.02
775,2021-12-21,4649.23
776,2021-12-22,4696.56
777,2021-12-23,4725.79
779,2021-12-27,4791.19
780,2021-12-28,4786.35
781,2021-12-29,4793.06
782,2021-12-30,4778.73
783,2021-12-31,4766.18
784,2022-01-03,4796.56
785,2022-01-04,4793.54
786,2022-01-05,4700.58
787,2022-01-06,4696.05
788,2022-01-07,4677.03
789,2022-01-10,4670.29
790,2022-01-11,4713.07
791,2022-01-12,4726.35
792,2022-01-13,4659.03
793,2022-01-14,4662.85
795,2022-01-18,4577.11
796,2022-01-19,4532.76
797,2022-01-20,4482.73
798,2022-01-21,4397.94
799,2022-01-24,4410.13
800,2022-01-25,4356.45
801,2022-01-26,4349.93
802,2022-01-27,4326.51
803,2022-01-28,4431.85
804,2022-01-31,4515.55
805,2022-02-01,4546.54
806,2022-02-02,4589.38
807,2022-02-03,4477.44
808,2022-02-04,4500.53
809,2022-02-07,4483.87
810,2022-02-08,4521.54
811,2022-02-09,4587.18
812,2022-02-10,4504.08
813,2022-02-11,4418.64
814,2022-02-14,4401.67
815,2022-02-15,4471.07
816,2022-02-16,4475.01
817,2022-02-17,4380.26
818,2022-02-18,4348.87
820,2022-02-22,4304.76
821,2022-02-23,4225.5
822,2022-02-24,4288.7
823,2022-02-25,4384.65
824,2022-02-28,4373.94
825,2022-03-01,4306.26
826,2022-03-02,4386.54
827,2022-03-03,4363.49
828,2022-03-04,4328.87
829,2022-03-07,4201.09
830,2022-03-08,4170.7
831,2022-03-09,4277.88
832,2022-03-10,4259.52
833,2022-03-11,4204.31
834,2022-03-14,4173.11
835,2022-03-15,4262.45
836,2022-03-16,4357.86
837,2022-03-17,4411.67
838,2022-03-18,4463.12
839,2022-03-21,4461.18
840,2022-03-22,4511.61
841,2022-03-23,4456.24
842,2022-03-24,4520.16
843,2022-03-25,4543.06
844,2022-03-28,4575.52
845,2022-03-29,4631.6
846,2022-03-30,4602.45
847,2022-03-31,4530.41
848,2022-04-01,4545.86
849,2022-04-04,4582.64
850,2022-04-05,4525.12
851,2022-04-06,4481.15
852,2022-04-07,4500.21
853,2022-04-08,4488.28
854,2022-04-11,4412.53
855,2022-04-12,4397.45
856,2022-04-13,4446.59
857,2022-04-14,4392.59
859,2022-04-18,4391.69
860,2022-04-19,4462.21
861,2022-04-20,4459.45
862,2022-04-21,4393.66
863,2022-04-22,4271.78
864,2022-04-25,4296.12
865,2022-04-26,4175.2
866,2022-04-27,4183.96
867,2022-04-28,4287.5
868,2022-04-29,4131.93
869,2022-05-02,4155.38
870,2022-05-03,4175.48
871,2022-05-04,4300.17
872,2022-05-05,4146.87
873,2022-05-06,4123.34
874,2022-05-09,3991.24
875,2022-05-10,4001.05
876,2022-05-11,3935.18
877,2022-05-12,3930.08
878,2022-05-13,4023.89
879,2022-05-16,4008.01
880,2022-05-17,4088.85
881,2022-05-18,3923.68
882,2022-05-19,3900.79
883,2022-05-20,3901.36
884,2022-05-23,3973.75
885,2022-05-24,3941.48
886,2022-05-25,3978.73
887,2022-05-26,4057.84
888,2022-05-27,4158.24
890,2022-05-31,4132.15
891,2022-06-01,4101.23
892,2022-06-02,4176.82
893,2022-06-03,4108.54
894,2022-06-06,4121.43
895,2022-06-07,4160.68
896,2022-06-08,4115.77
897,2022-06-09,4017.82
898,2022-06-10,3900.86
899,2022-06-13,3749.63
900,2022-06-14,3735.48
901,2022-06-15,3789.99
902,2022-06-16,3666.77
903,2022-06-17,3674.84
905,2022-06-21,3764.79
906,2022-06-22,3759.89
907,2022-06-23,3795.73
908,2022-06-24,3911.74
909,2022-06-27,3900.11
910,2022-06-28,3821.55
911,2022-06-29,3818.83
912,2022-06-30,3785.38
913,2022-07-01,3825.33
915,2022-07-05,3831.39
916,2022-07-06,3845.08
917,2022-07-07,3902.62
918,2022-07-08,3899.38
919,2022-07-11,3854.43
920,2022-07-12,3818.8
921,2022-07-13,3801.78
922,2022-07-14,3790.38
923,2022-07-15,3863.16
924,2022-07-18,3830.85
925,2022-07-19,3936.69
926,2022-07-20,3959.9
927,2022-07-21,3998.95
928,2022-07-22,3961.63
929,2022-07-25,3966.84
930,2022-07-26,3921.05
931,2022-07-27,4023.61
932,2022-07-28,4072.43
933,2022-07-29,4130.29
934,2022-08-01,4118.63
935,2022-08-02,4091.19
936,2022-08-03,4155.17
937,2022-08-04,4151.94
938,2022-08-05,4145.19
939,2022-08-08,4140.06
940,2022-08-09,4122.47
941,2022-08-10,4210.24
942,2022-08-11,4207.27
943,2022-08-12,4280.15
944,2022-08-15,4297.14
945,2022-08-16,4305.2
946,2022-08-17,4274.04
947,2022-08-18,4283.74
948,2022-08-19,4228.48
949,2022-08-22,4137.99
950,2022-08-23,4128.73
951,2022-08-24,4140.77
952,2022-08-25,4199.12
953,2022-08-26,4057.66
954,2022-08-29,4030.61
955,2022-08-30,3986.16
956,2022-08-31,3955.0
957,2022-09-01,3966.85
958,2022-09-02,3924.26
960,2022-09-06,3908.19
961,2022-09-07,3979.87
962,2022-09-08,4006.18
963,2022-09-09,4067.36
964,2022-09-12,4110.41
965,2022-09-13,3932.69
966,2022-09-14,3946.01
967,2022-09-15,3901.35
968,2022-09-16,3873.33
969,2022-09-19,3899.89
970,2022-09-20,3855.93
971,2022-09-21,3789.93
972,2022-09-22,3757.99
973,2022-09-23,3693.23
974,2022-09-26,3655.04
975,2022-09-27,3647.29
976,2022-09-28,3719.04
977,2022-09-29,3640.47
978,2022-09-30,3585.62
979,2022-10-03,3678.43
980,2022-10-04,3790.93
981,2022-10-05,3783.28
982,2022-10-06,3744.52
983,2022-10-07,3639.66
984,2022-10-10,3612.39
985,2022-10-11,3588.84
986,2022-10-12,3577.03
987,2022-10-13,3669.91
988,2022-10-14,3583.07
989,2022-10-17,3677.95
990,2022-10-18,3719.98
991,2022-10-19,3695.16
992,2022-10-20,3665.78
993,2022-10-21,3752.75
994,2022-10-24,3797.34
995,2022-10-25,3859.11
996,2022-10-26,3830.6
997,2022-10-27,3807.3
998,2022-10-28,3901.06
999,2022-10-31,3871.98
1000,2022-11-01,3856.1
1001,2022-11-02,3759.69
1002,2022-11-03,3719.89
1003,2022-11-04,3770.55
1004,2022-11-07,3806.8
1005,2022-11-08,3828.11
1006,2022-11-09,3748.57
1007,2022-11-10,3956.37
1008,2022-11-11,3992.93
1009,2022-11-14,3957.25
1010,2022-11-15,3991.73
1011,2022-11-16,3958.79
1012,2022-11-17,3946.56
1013,2022-11-18,3965.34
1014,2022-11-21,3949.94
1015,2022-11-22,4003.58
1016,2022-11-23,4027.26
1018,2022-11-25,4026.12
1019,2022-11-28,3963.94
1020,2022-11-29,3957.63
1021,2022-11-30,4080.11
1022,2022-12-01,4076.57
1023,2022-12-02,4071.7
1024,2022-12-05,3998.84
1025,2022-12-06,3941.26
1026,2022-12-07,3933.92
1027,2022-12-08,3963.51
1028,2022-12-09,3934.38
1029,2022-12-12,3990.56
1030,2022-12-13,4019.65
